"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72"
"1",0.0413066651906604,0.101893474231056,0.150812176771182,0.186290774216295,0.206557421862424,0.210895196235334,0.202160979217208,0.183967718044235,0.159926955519144,0.132251418719032,0.099130132859616,0.058033053225364,0.00643774685539068,-0.0555978343861523,-0.12169037052418,-0.184505072252841,-0.236724574829588,-0.273860826978138,-0.297358841226758,-0.309410708255314,-0.312215664516382,-0.308639904304092,-0.302750283226207,-0.298739250991624,-0.300755973031252,-0.310352558096954,-0.325055677088065,-0.342045726680051,-0.358486644976697,-0.37085845165002,-0.374726348095058,-0.365591668771279,-0.339120620783191,-0.295979689423098,-0.242616207099952,-0.185799523107549,-0.132100297217335,-0.0835193301867602,-0.0374875637592813,0.00876274984399403,0.0576427407044341,0.105161537997463,0.14179071129136,0.157819241893271,0.144465403627904,0.106258485982896,0.0576790979446316,0.0134473280889205,-0.0135501451214615,-0.0317400357877663,-0.0632996338590057,-0.13063540554832,-0.251681816547805,-0.401621658929377,-0.531889508980226,-0.593665505088074,-0.546666550185987,-0.418405893042358,-0.268726978181852,-0.157672358340107,-0.135457967652763,-0.186972379802683,-0.270454378829542,-0.344064135824215,-0.373112401180055,-0.362922444238868,-0.332727645641816,-0.301775352005261,-0.283503112715997,-0.263886453740866,-0.220794619750415,-0.132095672879628
"2",-0.209273507855555,-0.181116980470068,-0.10260483566341,-0.00344902546534761,0.0866397978194744,0.146860597581456,0.186595853664104,0.221613595423656,0.267672637930652,0.331354367701961,0.392841242734087,0.427598006746953,0.411129696400404,0.33260065498975,0.214658658890148,0.0849881019677083,-0.0287878162006698,-0.108982318748325,-0.158745284284111,-0.183850296566698,-0.190090390113891,-0.185074055498095,-0.179677977644569,-0.185120708021123,-0.212457914128072,-0.262972225416016,-0.322798062358492,-0.376766773689077,-0.409952902784861,-0.417536687641099,-0.408215876103265,-0.391631924677243,-0.377184720985771,-0.366947821367445,-0.354524773195581,-0.333047309618599,-0.295828539243064,-0.240353206212846,-0.168277690209121,-0.0814397463712051,0.0179258409213511,0.120456818368381,0.210625862627419,0.272702371385,0.291770143087555,0.264578303369657,0.196596980142962,0.0935061731903815,-0.0378208594118933,-0.176639231928321,-0.293254621423777,-0.357823547676479,-0.344449759023065,-0.264971933892366,-0.152190205238071,-0.0391292866100464,0.0430619273030075,0.0781317155086555,0.0569324057044207,-0.0296399235349457,-0.184430944698994,-0.36868149135276,-0.526660025947666,-0.602584944943648,-0.55482444331055,-0.420924787758208,-0.265958024910259,-0.155023837715555,-0.133238179698775,-0.151256970104625,-0.13185327346527,0.00220391320786574
"3",-0.17973014000177,-0.216024623388873,-0.189742491958669,-0.12505729278066,-0.046141914703974,0.0273428540820779,0.0910220771202011,0.143754654647731,0.184399682226235,0.212010798353379,0.22620124545445,0.226684271962049,0.213176689704474,0.186603301652184,0.150850092601992,0.11024847181316,0.0691264259810809,0.031256202993027,-0.000755332260898169,-0.0244480573164459,-0.0373741102564522,-0.0382299795864616,-0.0277722199753965,-0.00697287746774231,0.0231355004090267,0.0578902771481156,0.0870021783247826,0.0996979176503759,0.0854922615209593,0.0458696991175807,-0.001674421970256,-0.0385269753677522,-0.0465449496558545,-0.0218430385577308,0.0229806585676216,0.0744098490882644,0.119295270367602,0.152929349661898,0.179046204120277,0.201746980887208,0.224824314211629,0.246532414841978,0.260334905284949,0.259537449444725,0.238078793056452,0.198965829944894,0.151984804300475,0.107085106119795,0.0731651635277464,0.0469059728905832,0.0171063165367328,-0.0275663934393417,-0.0958308274805255,-0.171416985812104,-0.22417386044964,-0.223801722569907,-0.14642943287323,-0.0192397233782234,0.106238499578421,0.178326391711939,0.155000212213896,0.0584233481864938,-0.0630561726402579,-0.161013081708539,-0.19665182389899,-0.185061861672683,-0.160065459413943,-0.155503689541157,-0.192166370307199,-0.229152036536162,-0.207349097404967,-0.0676433056170617
"4",-0.180824437086824,-0.234750583382403,-0.203131935391505,-0.12270892846703,-0.0302209848157324,0.0445375901649323,0.0953007839531335,0.120780171026909,0.119692127275061,0.095535233707604,0.0655641131741914,0.0494917108357816,0.0669858793228451,0.122428103430311,0.182727975117316,0.209158520031952,0.163159270245826,0.0332062383479592,-0.135529125867506,-0.290736409698442,-0.38039961313416,-0.379982039132103,-0.314415388716025,-0.213805960374409,-0.108137878080616,-0.0200647949006963,0.0391218660056319,0.0591080775996253,0.0299765510722321,-0.0417039674357665,-0.127312794905839,-0.196689718920854,-0.220533733986015,-0.195601969547879,-0.148777497767277,-0.10862152932522,-0.102587449891776,-0.132648669885298,-0.175298624472425,-0.205922923808853,-0.201078724970248,-0.158354795339612,-0.093531682873269,-0.0229897675505683,0.0372371993470266,0.0760805124623108,0.0861833363336193,0.0602781620532875,-0.00732175006605428,-0.103926697525849,-0.204991208675331,-0.285772215711194,-0.323925715740722,-0.320042416985018,-0.287453077875389,-0.239624953481205,-0.189596666795092,-0.147002777319723,-0.119854541153423,-0.116153217144915,-0.141631209762059,-0.186937579548768,-0.236568253968063,-0.27500100964792,-0.289240537303093,-0.280431388700341,-0.254633753165862,-0.217912755404932,-0.175338810855774,-0.12728049630229,-0.0727184927364777,-0.0106332786855939
"5",-0.453785960294415,-0.538450337921395,-0.573866030805397,-0.567398186582052,-0.526411980552126,-0.458462232527445,-0.371746229785971,-0.274597178421543,-0.175346531797566,-0.0805800237655204,0.008138184515549,0.0901413298686313,0.16474932339697,0.226764657210153,0.259916150309425,0.246266906727867,0.167987009267871,0.0246172183982353,-0.14787543446282,-0.308937203162988,-0.418205420092482,-0.45315192448612,-0.423354336607023,-0.341748673181635,-0.221380284731607,-0.0818545494909579,0.0470551113521247,0.134700606247804,0.151060528062805,0.0921546737141295,-0.0111641033163846,-0.125611121679721,-0.218577118653436,-0.27793701204916,-0.315247585272783,-0.343384798735221,-0.374658887909526,-0.408368414697797,-0.430800267431183,-0.427675609502969,-0.385594257524203,-0.306929610671309,-0.20769879528621,-0.104368808158325,-0.0130701890421474,0.0548858711965703,0.0917911284380073,0.0900240438688649,0.0432740315965342,-0.0395296665685706,-0.13962566191086,-0.238088696599657,-0.316608624606067,-0.362755679133237,-0.36736659743137,-0.321313114008392,-0.219247313363912,-0.0858436513600398,0.0399065804583322,0.118923919117935,0.119162140964137,0.0553319973326092,-0.0387816154088337,-0.129337534977827,-0.188108366998617,-0.218279695713502,-0.233957638245609,-0.249259276108508,-0.272068062705032,-0.280802044229445,-0.245181623745721,-0.134925935515044
"6",-0.515547887490075,-0.497387658171354,-0.490538773361942,-0.478821108506478,-0.446055339693397,-0.381550556220223,-0.293209198216672,-0.192867268773255,-0.0923587005395234,-0.00145526696821702,0.0760030718401949,0.137236421557098,0.179464516972361,0.199781364042103,0.194972766183067,0.161778166622562,0.0969817941258809,0.00463992918893926,-0.0959416720078163,-0.183537073342751,-0.237019861542499,-0.244552687899704,-0.211020430764515,-0.143057182068251,-0.0474077446256907,0.0625404257409094,0.163103761047698,0.22971300624316,0.238311233222683,0.186130714972597,0.0988804394724848,0.0042574622422396,-0.0706056464916979,-0.115696097043393,-0.140793365328606,-0.156779437601875,-0.174167520642999,-0.194988893312822,-0.212792906553232,-0.220760131831379,-0.212348313570705,-0.185991005106021,-0.144425701437447,-0.0905318101187273,-0.0278409255032466,0.0307735538969722,0.0654542938409219,0.0561758909123314,-0.0138364486742491,-0.123569181745967,-0.227629192898806,-0.280217040524897,-0.240579059369307,-0.116198471177861,0.0586462939696666,0.24938972267802,0.421794256074361,0.544226848752528,0.586296475494762,0.517619760168373,0.318708466203942,0.0425052448486386,-0.228499634154786,-0.411728739947075,-0.443298011613152,-0.363925936851376,-0.250695449579643,-0.180725994204022,-0.20695187914729,-0.267987971973283,-0.268704156088404,-0.113965392217195
"7",-0.233346788426196,-0.259194083881134,-0.209629106917756,-0.116330082588252,-0.0109745008028874,0.0797995464130572,0.146426167921691,0.182951224854845,0.183426588835505,0.147890580677593,0.0936015783557127,0.04089533131611,0.0100769539215945,0.0110662672493698,0.0283253380393573,0.042486847601683,0.0342513758608116,-0.00465545975549263,-0.0593885636370274,-0.112191687083805,-0.145404853062033,-0.150353696774099,-0.134539803863498,-0.107156830778807,-0.0773809350674929,-0.0533383402105021,-0.0415278718856717,-0.0483083645619692,-0.0797696036434173,-0.130821326946109,-0.181418693792913,-0.210472827630779,-0.197575006261058,-0.142944313764806,-0.070647746274415,-0.0060807263957287,0.0263028340120879,0.0237037702634341,0.00497766484627455,-0.0100783890047496,-0.00264525729838301,0.0285398696193667,0.0695540502711965,0.10597362804719,0.124000757740449,0.118801601956671,0.092243818363337,0.0463563368377228,-0.0164878347749071,-0.0899157822514055,-0.164974006608701,-0.232665999117725,-0.284575610815463,-0.317834847571181,-0.332657671280814,-0.329291063854296,-0.309012767689502,-0.281286506435463,-0.259479671011865,-0.256983693399333,-0.283759980870814,-0.326967136442588,-0.364461536123706,-0.374072115725557,-0.339355375134759,-0.275917562432347,-0.210506827689453,-0.169882507625796,-0.171136120782536,-0.185660886991169,-0.171360733672439,-0.0861376204436793
"8",-0.268882674504151,-0.26846927192462,-0.261805398745989,-0.246863530713726,-0.221616312174302,-0.185192147376774,-0.140634861754399,-0.0918166174875362,-0.0426095441126585,0.00314674214680643,0.0417061498082627,0.0693393010600764,0.0823223574577537,0.0788093260171565,0.0615574278472328,0.0340163049493923,-0.000365574008717277,-0.03833026042902,-0.0770193258593329,-0.11362464853251,-0.145331924880334,-0.168749866749889,-0.179448495045221,-0.172889179334762,-0.144660717220975,-0.0979975883481898,-0.0479850795256246,-0.0107279018347472,-0.00200886692251794,-0.0242345979809974,-0.0619195528410816,-0.0983290693706088,-0.117122199602589,-0.113898607985654,-0.0980625618847943,-0.0797873016438523,-0.0689231303938747,-0.0678927953715836,-0.0716914879193771,-0.0749914621668566,-0.0726366016710701,-0.0625518814705856,-0.045327338353361,-0.0216408833742071,0.00740774038074776,0.0346765451393671,0.0485063591006826,0.0371293039372482,-0.00949137728281597,-0.0812681552679364,-0.155130090259795,-0.207789852325627,-0.217990791708072,-0.183889265351636,-0.114425401528283,-0.018654865615999,0.0926957934438984,0.195630385816464,0.259824798200959,0.254915946251432,0.158686524318244,0.00307236352480941,-0.15789935318107,-0.270136276622022,-0.291040829455646,-0.242336765017676,-0.168108759979068,-0.112463941737017,-0.107297566979235,-0.126781246253324,-0.128047637590392,-0.0682269133975501
"9",-0.277637753246891,-0.313162482987591,-0.318987065505791,-0.300801529162915,-0.264295916591975,-0.215258102159161,-0.159807389310109,-0.104133197800464,-0.0544227805493664,-0.0147052213197269,0.0171983827044617,0.0445763546283532,0.0707061794146071,0.0951912117202446,0.108628309789351,0.100259564054197,0.0593873325275018,-0.0149000784029198,-0.102993251207018,-0.182698795843075,-0.231934354215877,-0.238980845989358,-0.210775222607281,-0.15620593300521,-0.0842037477887309,-0.00623873776468066,0.062283110948163,0.105617238870856,0.108377379365948,0.0700657435506024,0.0100995659329644,-0.0507135756201322,-0.0920598297885471,-0.108599145676074,-0.112302759429942,-0.116106216858891,-0.132403659662392,-0.161136935026713,-0.189795595624921,-0.205327790020813,-0.195360097862431,-0.159698293622162,-0.108682829648534,-0.0530015150052074,-0.00317821013561547,0.0326115944977451,0.0479480505691879,0.0364535594725895,-0.00693856406467246,-0.07205563781327,-0.138893129542616,-0.187282642855437,-0.198986528322739,-0.174224796312879,-0.123470540889675,-0.0573067074465002,0.0129408347887257,0.0700461450857345,0.0939697023612654,0.0646546578624476,-0.0317095227631367,-0.167407875733691,-0.297785432613389,-0.378137254451203,-0.373996997092032,-0.308190453275982,-0.223460682182116,-0.162570740244961,-0.155476101437988,-0.171592755205237,-0.162466555071654,-0.0796407476860451
"10",-0.282390832574909,-0.283179244725571,-0.277410931540212,-0.261504452981587,-0.231878711699189,-0.187301727941513,-0.134499736107537,-0.0818825905472086,-0.037856702978016,-0.00739962318943741,0.0143742410207675,0.0341131096732548,0.0584483033939847,0.0882822480071801,0.110473972345194,0.109770080903454,0.0709925261391889,-0.00880211419326698,-0.106901281347031,-0.197361872713091,-0.254371130813771,-0.2642821913498,-0.235349300369564,-0.178117649949817,-0.103163483696063,-0.0229261369390152,0.0472672628165485,0.0918411758358214,0.0955853177434811,0.0584672019447396,0.000756363502417378,-0.055860301344359,-0.0902323050385975,-0.0974774295861779,-0.0915212864103332,-0.0873371601415914,-0.0992564804059033,-0.126848011723954,-0.154917853511162,-0.167630250178368,-0.150023955419018,-0.102836913567849,-0.04038644909986,0.0225623647572581,0.0717193129730659,0.0995959622831821,0.103788893612138,0.082017059305696,0.0327893001006499,-0.0362030907204545,-0.111344656942329,-0.178921206300806,-0.225938377414429,-0.246283287294823,-0.237665659648466,-0.197836173511987,-0.12699919690966,-0.0448455375227301,0.0196414547082287,0.0374212009449717,-0.013880886368998,-0.112323884749117,-0.217888703354721,-0.290502923414894,-0.298598344406665,-0.258193846432802,-0.201851671656536,-0.162150672042361,-0.1613338193503,-0.172787959553976,-0.155478514079553,-0.0683688005713493
