Dates,Hour,priceahead
2015-01-05,0,39.1
2015-01-05,1,35.21
2015-01-05,2,32.43
2015-01-05,3,33.15
2015-01-05,4,38.85
2015-01-05,5,48.89
2015-01-05,6,60.03
2015-01-05,7,63.98
2015-01-05,8,64.5
2015-01-05,9,55.49
2015-01-05,10,53.5
2015-01-05,11,51.0
2015-01-05,12,50.39
2015-01-05,13,54.45
2015-01-05,14,64.0
2015-01-05,15,64.25
2015-01-05,16,68.64
2015-01-05,17,67.0
2015-01-05,18,61.5
2015-01-05,19,55.95
2015-01-05,20,50.26
2015-01-05,21,50.53
2015-01-05,22,51.0
2015-01-05,23,49.78
2015-01-06,0,45.21
2015-01-06,1,38.8
2015-01-06,2,35.0
2015-01-06,3,33.43
2015-01-06,4,37.58
2015-01-06,5,43.5
2015-01-06,6,52.0
2015-01-06,7,52.0
2015-01-06,8,51.04
2015-01-06,9,50.28
2015-01-06,10,49.1
2015-01-06,11,47.97
2015-01-06,12,45.11
2015-01-06,13,45.44
2015-01-06,14,52.49
2015-01-06,15,57.89
2015-01-06,16,63.98
2015-01-06,17,61.1
2015-01-06,18,59.17
2015-01-06,19,55.0
2015-01-06,20,50.0
2015-01-06,21,50.27
2015-01-06,22,49.1
2015-01-06,23,49.92
2015-01-07,0,45.5
2015-01-07,1,45.0
2015-01-07,2,41.85
2015-01-07,3,41.85
2015-01-07,4,44.32
2015-01-07,5,51.96
2015-01-07,6,57.33
2015-01-07,7,69.69
2015-01-07,8,70.95
2015-01-07,9,66.4
2015-01-07,10,63.98
2015-01-07,11,54.99
2015-01-07,12,52.62
2015-01-07,13,64.34
2015-01-07,14,65.0
2015-01-07,15,65.02
2015-01-07,16,65.21
2015-01-07,17,63.0
2015-01-07,18,58.23
2015-01-07,19,52.1
2015-01-07,20,50.55
2015-01-07,21,49.78
2015-01-07,22,49.78
2015-01-07,23,46.48
2015-01-08,0,40.85
2015-01-08,1,40.03
2015-01-08,2,38.85
2015-01-08,3,39.1
2015-01-08,4,44.41
2015-01-08,5,60.0
2015-01-08,6,65.66
2015-01-08,7,78.24
2015-01-08,8,76.0
2015-01-08,9,71.35
2015-01-08,10,66.95
2015-01-08,11,57.75
2015-01-08,12,57.89
2015-01-08,13,65.15
2015-01-08,14,65.0
2015-01-08,15,65.99
2015-01-08,16,67.08
2015-01-08,17,64.0
2015-01-08,18,62.0
2015-01-08,19,57.2
2015-01-08,20,51.01
2015-01-08,21,50.26
2015-01-08,22,48.9
2015-01-08,23,44.89
2015-01-09,0,41.1
2015-01-09,1,40.8
2015-01-09,2,40.03
2015-01-09,3,40.8
2015-01-09,4,46.21
2015-01-09,5,52.04
2015-01-09,6,60.03
2015-01-09,7,69.65
2015-01-09,8,71.94
2015-01-09,9,65.39
2015-01-09,10,63.98
2015-01-09,11,52.44
2015-01-09,12,51.05
2015-01-09,13,54.45
2015-01-09,14,58.0
2015-01-09,15,61.0
2015-01-09,16,65.04
2015-01-09,17,63.98
2015-01-09,18,58.43
2015-01-09,19,51.8
2015-01-09,20,50.4
2015-01-09,21,48.8
2015-01-09,22,44.96
2015-01-09,23,42.49
2015-01-10,0,38.8
2015-01-10,1,34.51
2015-01-10,2,33.35
2015-01-10,3,32.68
2015-01-10,4,34.51
2015-01-10,5,42.99
2015-01-10,6,49.11
2015-01-10,7,50.16
2015-01-10,8,49.28
2015-01-10,9,47.01
2015-01-10,10,44.49
2015-01-10,11,40.78
2015-01-10,12,38.0
2015-01-10,13,39.46
2015-01-10,14,45.0
2015-01-10,15,47.72
2015-01-10,16,53.1
2015-01-10,17,52.84
2015-01-10,18,51.95
2015-01-10,19,49.0
2015-01-10,20,46.44
2015-01-10,21,44.49
2015-01-10,22,40.83
2015-01-10,23,39.24
2015-01-11,0,34.45
2015-01-11,1,27.74
2015-01-11,2,20.0
2015-01-11,3,20.0
2015-01-11,4,25.01
2015-01-11,5,33.76
2015-01-11,6,37.27
2015-01-11,7,38.78
2015-01-11,8,40.01
2015-01-11,9,37.0
2015-01-11,10,34.51
2015-01-11,11,33.76
2015-01-11,12,28.0
2015-01-11,13,30.2
2015-01-11,14,35.51
2015-01-11,15,44.53
2015-01-11,16,53.48
2015-01-11,17,55.0
2015-01-11,18,58.71
2015-01-11,19,55.6
2015-01-11,20,49.21
2015-01-11,21,45.01
2015-01-11,22,38.96
2015-01-11,23,33.78
2015-01-12,0,28.3
2015-01-12,1,22.08
2015-01-12,2,19.8
2015-01-12,3,25.0
2015-01-12,4,33.62
2015-01-12,5,48.07
2015-01-12,6,55.23
2015-01-12,7,65.0
2015-01-12,8,61.28
2015-01-12,9,54.28
2015-01-12,10,53.36
2015-01-12,11,47.88
2015-01-12,12,48.36
2015-01-12,13,52.69
2015-01-12,14,57.35
2015-01-12,15,59.21
2015-01-12,16,61.82
2015-01-12,17,59.8
2015-01-12,18,55.5
2015-01-12,19,51.7
2015-01-12,20,51.52
2015-01-12,21,48.93
2015-01-12,22,45.74
2015-01-12,23,44.2
2015-01-13,0,41.53
2015-01-13,1,40.78
2015-01-13,2,40.29
2015-01-13,3,41.53
2015-01-13,4,46.59
2015-01-13,5,51.54
2015-01-13,6,57.03
2015-01-13,7,69.16
2015-01-13,8,64.97
2015-01-13,9,59.95
2015-01-13,10,55.39
2015-01-13,11,49.44
2015-01-13,12,49.04
2015-01-13,13,53.16
2015-01-13,14,57.81
2015-01-13,15,60.21
2015-01-13,16,64.49
2015-01-13,17,62.08
2015-01-13,18,57.3
2015-01-13,19,51.56
2015-01-13,20,50.02
2015-01-13,21,49.37
2015-01-13,22,48.47
2015-01-13,23,42.78
2015-01-14,0,39.0
2015-01-14,1,38.0
2015-01-14,2,38.0
2015-01-14,3,40.21
2015-01-14,4,43.53
2015-01-14,5,47.92
2015-01-14,6,54.56
2015-01-14,7,64.42
2015-01-14,8,59.99
2015-01-14,9,54.87
2015-01-14,10,52.73
2015-01-14,11,48.12
2015-01-14,12,48.0
2015-01-14,13,50.37
2015-01-14,14,53.45
2015-01-14,15,57.04
2015-01-14,16,60.99
2015-01-14,17,60.12
2015-01-14,18,55.8
2015-01-14,19,50.88
2015-01-14,20,49.5
2015-01-14,21,48.0
2015-01-14,22,44.21
2015-01-14,23,43.83
2015-01-15,0,41.0
2015-01-15,1,39.0
2015-01-15,2,39.0
2015-01-15,3,41.0
2015-01-15,4,45.53
2015-01-15,5,50.32
2015-01-15,6,58.83
2015-01-15,7,69.96
2015-01-15,8,66.73
2015-01-15,9,61.51
2015-01-15,10,56.72
2015-01-15,11,50.0
2015-01-15,12,49.95
2015-01-15,13,53.12
2015-01-15,14,54.27
2015-01-15,15,57.35
2015-01-15,16,63.99
2015-01-15,17,61.0
2015-01-15,18,56.34
2015-01-15,19,52.2
2015-01-15,20,50.66
2015-01-15,21,48.4
2015-01-15,22,43.79
2015-01-15,23,43.53
2015-01-16,0,40.0
2015-01-16,1,38.0
2015-01-16,2,37.76
2015-01-16,3,38.51
2015-01-16,4,42.78
2015-01-16,5,48.38
2015-01-16,6,54.58
2015-01-16,7,66.73
2015-01-16,8,64.68
2015-01-16,9,60.31
2015-01-16,10,59.22
2015-01-16,11,49.78
2015-01-16,12,49.5
2015-01-16,13,54.05
2015-01-16,14,55.02
2015-01-16,15,56.04
2015-01-16,16,61.99
2015-01-16,17,60.5
2015-01-16,18,55.8
2015-01-16,19,52.69
2015-01-16,20,50.88
2015-01-16,21,48.14
2015-01-16,22,43.0
2015-01-16,23,40.92
2015-01-17,0,40.0
2015-01-17,1,35.58
2015-01-17,2,33.58
2015-01-17,3,34.01
2015-01-17,4,35.04
2015-01-17,5,41.17
2015-01-17,6,51.02
2015-01-17,7,54.99
2015-01-17,8,56.53
2015-01-17,9,49.61
2015-01-17,10,45.78
2015-01-17,11,41.54
2015-01-17,12,40.67
2015-01-17,13,41.87
2015-01-17,14,45.01
2015-01-17,15,47.75
2015-01-17,16,57.99
2015-01-17,17,63.05
2015-01-17,18,59.64
2015-01-17,19,52.38
2015-01-17,20,48.7
2015-01-17,21,45.0
2015-01-17,22,40.45
2015-01-17,23,41.17
2015-01-18,0,36.5
2015-01-18,1,34.84
2015-01-18,2,32.84
2015-01-18,3,34.71
2015-01-18,4,33.58
2015-01-18,5,36.45
2015-01-18,6,40.92
2015-01-18,7,42.59
2015-01-18,8,45.59
2015-01-18,9,45.68
2015-01-18,10,41.71
2015-01-18,11,41.0
2015-01-18,12,39.0
2015-01-18,13,38.65
2015-01-18,14,48.08
2015-01-18,15,50.0
2015-01-18,16,62.41
2015-01-18,17,64.31
2015-01-18,18,63.92
2015-01-18,19,57.33
2015-01-18,20,54.99
2015-01-18,21,49.99
2015-01-18,22,48.25
2015-01-18,23,39.17
2015-01-19,0,37.22
2015-01-19,1,33.58
2015-01-19,2,32.84
2015-01-19,3,35.0
2015-01-19,4,39.0
2015-01-19,5,49.2
2015-01-19,6,56.43
2015-01-19,7,64.23
2015-01-19,8,61.03
2015-01-19,9,55.76
2015-01-19,10,54.27
2015-01-19,11,50.21
2015-01-19,12,50.0
2015-01-19,13,51.98
2015-01-19,14,55.01
2015-01-19,15,58.28
2015-01-19,16,66.0
2015-01-19,17,66.81
2015-01-19,18,60.02
2015-01-19,19,58.61
2015-01-19,20,60.5
2015-01-19,21,51.1
2015-01-19,22,49.23
2015-01-19,23,47.0
2015-01-20,0,42.08
2015-01-20,1,40.94
2015-01-20,2,41.49
2015-01-20,3,41.47
2015-01-20,4,42.91
2015-01-20,5,50.94
2015-01-20,6,58.93
2015-01-20,7,67.85
2015-01-20,8,63.79
2015-01-20,9,59.6
2015-01-20,10,56.26
2015-01-20,11,52.01
2015-01-20,12,51.85
2015-01-20,13,53.37
2015-01-20,14,54.99
2015-01-20,15,57.33
2015-01-20,16,63.5
2015-01-20,17,64.11
2015-01-20,18,57.01
2015-01-20,19,53.8
2015-01-20,20,52.93
2015-01-20,21,51.2
2015-01-20,22,49.86
2015-01-20,23,47.6
2015-01-21,0,43.51
2015-01-21,1,42.87
2015-01-21,2,42.87
2015-01-21,3,42.92
2015-01-21,4,43.17
2015-01-21,5,50.11
2015-01-21,6,55.89
2015-01-21,7,67.36
2015-01-21,8,62.5
2015-01-21,9,62.54
2015-01-21,10,57.32
2015-01-21,11,52.01
2015-01-21,12,51.25
2015-01-21,13,52.09
2015-01-21,14,53.74
2015-01-21,15,54.0
2015-01-21,16,61.15
2015-01-21,17,63.55
2015-01-21,18,54.6
2015-01-21,19,51.25
2015-01-21,20,51.01
2015-01-21,21,49.76
2015-01-21,22,47.38
2015-01-21,23,44.76
2015-01-22,0,43.17
2015-01-22,1,42.34
2015-01-22,2,41.44
2015-01-22,3,40.88
2015-01-22,4,42.46
2015-01-22,5,49.82
2015-01-22,6,56.9
2015-01-22,7,63.0
2015-01-22,8,61.01
2015-01-22,9,62.03
2015-01-22,10,60.5
2015-01-22,11,54.0
2015-01-22,12,52.22
2015-01-22,13,53.01
2015-01-22,14,53.68
2015-01-22,15,54.33
2015-01-22,16,60.01
2015-01-22,17,61.3
2015-01-22,18,56.99
2015-01-22,19,51.5
2015-01-22,20,51.0
2015-01-22,21,49.6
2015-01-22,22,46.76
2015-01-22,23,44.0
2015-01-23,0,42.49
2015-01-23,1,40.86
2015-01-23,2,39.56
2015-01-23,3,38.87
2015-01-23,4,41.0
2015-01-23,5,48.0
2015-01-23,6,56.0
2015-01-23,7,62.1
2015-01-23,8,62.7
2015-01-23,9,64.92
2015-01-23,10,61.0
2015-01-23,11,55.23
2015-01-23,12,53.37
2015-01-23,13,53.35
2015-01-23,14,53.51
2015-01-23,15,54.0
2015-01-23,16,60.8
2015-01-23,17,62.5
2015-01-23,18,59.16
2015-01-23,19,53.35
2015-01-23,20,50.8
2015-01-23,21,50.0
2015-01-23,22,47.4
2015-01-23,23,47.94
2015-01-24,0,44.1
2015-01-24,1,40.45
2015-01-24,2,39.89
2015-01-24,3,35.5
2015-01-24,4,37.0
2015-01-24,5,40.45
2015-01-24,6,49.23
2015-01-24,7,51.27
2015-01-24,8,51.97
2015-01-24,9,50.13
2015-01-24,10,49.26
2015-01-24,11,45.58
2015-01-24,12,41.0
2015-01-24,13,41.21
2015-01-24,14,44.4
2015-01-24,15,46.49
2015-01-24,16,57.06
2015-01-24,17,57.06
2015-01-24,18,57.06
2015-01-24,19,50.0
2015-01-24,20,47.94
2015-01-24,21,46.92
2015-01-24,22,46.2
2015-01-24,23,42.52
2015-01-25,0,39.0
2015-01-25,1,35.45
2015-01-25,2,32.44
2015-01-25,3,31.73
2015-01-25,4,32.44
2015-01-25,5,34.0
2015-01-25,6,37.4
2015-01-25,7,37.27
2015-01-25,8,40.0
2015-01-25,9,40.15
2015-01-25,10,40.21
2015-01-25,11,40.15
2015-01-25,12,35.86
2015-01-25,13,33.44
2015-01-25,14,34.56
2015-01-25,15,37.0
2015-01-25,16,49.16
2015-01-25,17,53.0
2015-01-25,18,56.0
2015-01-25,19,53.41
2015-01-25,20,50.0
2015-01-25,21,46.15
2015-01-25,22,41.91
2015-01-25,23,39.5
2015-01-26,0,36.99
2015-01-26,1,35.5
2015-01-26,2,34.25
2015-01-26,3,32.22
2015-01-26,4,36.27
2015-01-26,5,47.94
2015-01-26,6,55.0
2015-01-26,7,59.0
2015-01-26,8,59.0
2015-01-26,9,57.06
2015-01-26,10,54.9
2015-01-26,11,50.16
2015-01-26,12,50.03
2015-01-26,13,50.93
2015-01-26,14,52.0
2015-01-26,15,52.9
2015-01-26,16,60.99
2015-01-26,17,60.99
2015-01-26,18,56.66
2015-01-26,19,54.17
2015-01-26,20,52.9
2015-01-26,21,50.0
2015-01-26,22,47.2
2015-01-26,23,43.71
2015-01-27,0,41.49
2015-01-27,1,40.27
2015-01-27,2,39.5
2015-01-27,3,39.19
2015-01-27,4,40.76
2015-01-27,5,49.81
2015-01-27,6,57.0
2015-01-27,7,60.0
2015-01-27,8,59.4
2015-01-27,9,57.14
2015-01-27,10,55.46
2015-01-27,11,50.83
2015-01-27,12,50.48
2015-01-27,13,52.0
2015-01-27,14,52.47
2015-01-27,15,54.7
2015-01-27,16,62.4
2015-01-27,17,62.21
2015-01-27,18,57.53
2015-01-27,19,53.0
2015-01-27,20,53.02
2015-01-27,21,50.0
2015-01-27,22,48.69
2015-01-27,23,43.37
2015-01-28,0,41.49
2015-01-28,1,40.72
2015-01-28,2,38.79
2015-01-28,3,36.67
2015-01-28,4,40.38
2015-01-28,5,49.75
2015-01-28,6,59.98
2015-01-28,7,62.39
2015-01-28,8,60.99
2015-01-28,9,54.3
2015-01-28,10,52.0
2015-01-28,11,49.8
2015-01-28,12,49.5
2015-01-28,13,50.35
2015-01-28,14,52.47
2015-01-28,15,53.01
2015-01-28,16,62.99
2015-01-28,17,60.99
2015-01-28,18,55.0
2015-01-28,19,52.79
2015-01-28,20,59.98
2015-01-28,21,50.3
2015-01-28,22,47.84
2015-01-28,23,43.5
2015-01-29,0,41.7
2015-01-29,1,41.07
2015-01-29,2,40.27
2015-01-29,3,41.87
2015-01-29,4,42.5
2015-01-29,5,51.39
2015-01-29,6,57.03
2015-01-29,7,62.99
2015-01-29,8,62.18
2015-01-29,9,58.44
2015-01-29,10,54.0
2015-01-29,11,50.73
2015-01-29,12,50.03
2015-01-29,13,51.8
2015-01-29,14,52.64
2015-01-29,15,54.07
2015-01-29,16,62.49
2015-01-29,17,60.48
2015-01-29,18,55.76
2015-01-29,19,52.79
2015-01-29,20,50.75
2015-01-29,21,48.1
2015-01-29,22,45.0
2015-01-29,23,39.99
2015-01-30,0,37.27
2015-01-30,1,35.0
2015-01-30,2,33.44
2015-01-30,3,33.73
2015-01-30,4,35.75
2015-01-30,5,45.0
2015-01-30,6,51.76
2015-01-30,7,62.74
2015-01-30,8,61.38
2015-01-30,9,59.7
2015-01-30,10,53.01
2015-01-30,11,49.66
2015-01-30,12,49.7
2015-01-30,13,50.31
2015-01-30,14,51.35
2015-01-30,15,51.19
2015-01-30,16,60.99
2015-01-30,17,59.52
2015-01-30,18,54.87
2015-01-30,19,52.88
2015-01-30,20,50.51
2015-01-30,21,45.5
2015-01-30,22,42.3
2015-01-30,23,44.0
2015-01-31,0,40.31
2015-01-31,1,38.07
2015-01-31,2,36.5
2015-01-31,3,36.4
2015-01-31,4,39.9
2015-01-31,5,46.76
2015-01-31,6,55.46
2015-01-31,7,60.24
2015-01-31,8,61.73
2015-01-31,9,54.55
2015-01-31,10,50.71
2015-01-31,11,49.99
2015-01-31,12,47.63
2015-01-31,13,49.65
2015-01-31,14,50.55
2015-01-31,15,52.14
2015-01-31,16,60.99
2015-01-31,17,64.99
2015-01-31,18,59.98
2015-01-31,19,52.5
2015-01-31,20,50.0
2015-01-31,21,48.72
2015-01-31,22,45.5
2015-01-31,23,43.5
2015-02-01,0,38.24
2015-02-01,1,35.0
2015-02-01,2,31.34
2015-02-01,3,30.0
2015-02-01,4,30.21
2015-02-01,5,32.04
2015-02-01,6,35.34
2015-02-01,7,38.61
2015-02-01,8,40.5
2015-02-01,9,40.63
2015-02-01,10,40.89
2015-02-01,11,40.29
2015-02-01,12,36.13
2015-02-01,13,32.8
2015-02-01,14,35.0
2015-02-01,15,38.61
2015-02-01,16,49.85
2015-02-01,17,57.28
2015-02-01,18,58.5
2015-02-01,19,55.45
2015-02-01,20,51.32
2015-02-01,21,45.73
2015-02-01,22,41.6
2015-02-01,23,37.0
2015-02-02,0,34.0
2015-02-02,1,32.58
2015-02-02,2,31.0
2015-02-02,3,32.0
2015-02-02,4,36.03
2015-02-02,5,51.0
2015-02-02,6,59.98
2015-02-02,7,67.31
2015-02-02,8,65.5
2015-02-02,9,62.0
2015-02-02,10,60.39
2015-02-02,11,54.91
2015-02-02,12,53.81
2015-02-02,13,55.01
2015-02-02,14,55.69
2015-02-02,15,58.0
2015-02-02,16,65.6
2015-02-02,17,70.79
2015-02-02,18,65.35
2015-02-02,19,60.37
2015-02-02,20,60.99
2015-02-02,21,56.86
2015-02-02,22,53.16
2015-02-02,23,50.15
2015-02-03,0,46.01
2015-02-03,1,44.71
2015-02-03,2,42.07
2015-02-03,3,41.39
2015-02-03,4,47.6
2015-02-03,5,56.85
2015-02-03,6,65.62
2015-02-03,7,72.0
2015-02-03,8,71.32
2015-02-03,9,74.27
2015-02-03,10,70.12
2015-02-03,11,65.25
2015-02-03,12,63.01
2015-02-03,13,62.99
2015-02-03,14,62.51
2015-02-03,15,61.44
2015-02-03,16,66.58
2015-02-03,17,84.0
2015-02-03,18,76.0
2015-02-03,19,63.87
2015-02-03,20,60.99
2015-02-03,21,56.87
2015-02-03,22,53.62
2015-02-03,23,46.49
2015-02-04,0,45.0
2015-02-04,1,45.13
2015-02-04,2,42.5
2015-02-04,3,41.92
2015-02-04,4,44.6
2015-02-04,5,52.54
2015-02-04,6,61.78
2015-02-04,7,69.89
2015-02-04,8,67.93
2015-02-04,9,69.5
2015-02-04,10,66.5
2015-02-04,11,63.33
2015-02-04,12,58.0
2015-02-04,13,59.0
2015-02-04,14,58.47
2015-02-04,15,58.34
2015-02-04,16,65.35
2015-02-04,17,85.0
2015-02-04,18,68.17
2015-02-04,19,60.75
2015-02-04,20,56.43
2015-02-04,21,55.0
2015-02-04,22,52.0
2015-02-04,23,45.92
2015-02-05,0,43.5
2015-02-05,1,44.94
2015-02-05,2,41.5
2015-02-05,3,41.0
2015-02-05,4,43.5
2015-02-05,5,52.57
2015-02-05,6,60.36
2015-02-05,7,69.21
2015-02-05,8,69.57
2015-02-05,9,74.16
2015-02-05,10,70.0
2015-02-05,11,62.5
2015-02-05,12,58.0
2015-02-05,13,58.5
2015-02-05,14,57.5
2015-02-05,15,56.0
2015-02-05,16,62.65
2015-02-05,17,75.0
2015-02-05,18,65.63
2015-02-05,19,59.05
2015-02-05,20,56.17
2015-02-05,21,53.7
2015-02-05,22,50.1
2015-02-05,23,45.73
2015-02-06,0,43.0
2015-02-06,1,43.0
2015-02-06,2,40.02
2015-02-06,3,39.05
2015-02-06,4,42.73
2015-02-06,5,50.64
2015-02-06,6,59.11
2015-02-06,7,66.95
2015-02-06,8,65.92
2015-02-06,9,65.35
2015-02-06,10,63.44
2015-02-06,11,57.11
2015-02-06,12,54.44
2015-02-06,13,56.0
2015-02-06,14,55.91
2015-02-06,15,55.33
2015-02-06,16,61.17
2015-02-06,17,66.37
2015-02-06,18,62.65
2015-02-06,19,56.87
2015-02-06,20,55.0
2015-02-06,21,53.0
2015-02-06,22,50.0
2015-02-06,23,52.94
2015-02-07,0,46.62
2015-02-07,1,45.5
2015-02-07,2,42.0
2015-02-07,3,41.36
2015-02-07,4,45.25
2015-02-07,5,49.0
2015-02-07,6,56.01
2015-02-07,7,59.21
2015-02-07,8,62.17
2015-02-07,9,59.98
2015-02-07,10,55.78
2015-02-07,11,53.5
2015-02-07,12,50.0
2015-02-07,13,48.58
2015-02-07,14,50.0
2015-02-07,15,55.0
2015-02-07,16,60.0
2015-02-07,17,65.99
2015-02-07,18,65.99
2015-02-07,19,59.64
2015-02-07,20,54.87
2015-02-07,21,50.62
2015-02-07,22,47.94
2015-02-07,23,51.17
2015-02-08,0,46.12
2015-02-08,1,41.36
2015-02-08,2,40.0
2015-02-08,3,36.48
2015-02-08,4,36.81
2015-02-08,5,39.2
2015-02-08,6,41.0
2015-02-08,7,41.11
2015-02-08,8,48.2
2015-02-08,9,48.0
2015-02-08,10,46.0
2015-02-08,11,44.2
2015-02-08,12,40.0
2015-02-08,13,37.42
2015-02-08,14,34.83
2015-02-08,15,38.6
2015-02-08,16,45.43
2015-02-08,17,56.4
2015-02-08,18,60.99
2015-02-08,19,55.34
2015-02-08,20,49.56
2015-02-08,21,48.0
2015-02-08,22,43.13
2015-02-08,23,41.92
2015-02-09,0,39.0
2015-02-09,1,39.2
2015-02-09,2,36.57
2015-02-09,3,35.61
2015-02-09,4,41.59
2015-02-09,5,52.0
2015-02-09,6,67.25
2015-02-09,7,77.99
2015-02-09,8,78.99
2015-02-09,9,81.61
2015-02-09,10,76.16
2015-02-09,11,67.02
2015-02-09,12,65.99
2015-02-09,13,67.25
2015-02-09,14,67.25
2015-02-09,15,67.93
2015-02-09,16,71.68
2015-02-09,17,87.2
2015-02-09,18,76.13
2015-02-09,19,67.25
2015-02-09,20,61.73
2015-02-09,21,55.77
2015-02-09,22,51.3
2015-02-09,23,49.3
2015-02-10,0,47.21
2015-02-10,1,46.11
2015-02-10,2,43.43
2015-02-10,3,43.25
2015-02-10,4,47.28
2015-02-10,5,58.59
2015-02-10,6,67.48
2015-02-10,7,77.38
2015-02-10,8,77.92
2015-02-10,9,77.38
2015-02-10,10,72.38
2015-02-10,11,65.0
2015-02-10,12,61.79
2015-02-10,13,64.49
2015-02-10,14,67.21
2015-02-10,15,67.21
2015-02-10,16,71.68
2015-02-10,17,87.3
2015-02-10,18,75.01
2015-02-10,19,69.32
2015-02-10,20,60.03
2015-02-10,21,55.0
2015-02-10,22,51.53
2015-02-10,23,52.55
2015-02-11,0,49.21
2015-02-11,1,45.54
2015-02-11,2,45.43
2015-02-11,3,46.0
2015-02-11,4,49.85
2015-02-11,5,62.4
2015-02-11,6,67.48
2015-02-11,7,73.56
2015-02-11,8,70.0
2015-02-11,9,66.0
2015-02-11,10,63.73
2015-02-11,11,57.0
2015-02-11,12,54.79
2015-02-11,13,61.01
2015-02-11,14,61.24
2015-02-11,15,63.78
2015-02-11,16,68.1
2015-02-11,17,83.23
2015-02-11,18,74.08
2015-02-11,19,67.19
2015-02-11,20,63.95
2015-02-11,21,61.37
2015-02-11,22,59.64
2015-02-11,23,62.2
2015-02-12,0,54.49
2015-02-12,1,52.57
2015-02-12,2,52.4
2015-02-12,3,50.33
2015-02-12,4,52.81
2015-02-12,5,65.38
2015-02-12,6,67.75
2015-02-12,7,73.99
2015-02-12,8,69.99
2015-02-12,9,64.26
2015-02-12,10,62.37
2015-02-12,11,55.34
2015-02-12,12,55.27
2015-02-12,13,59.05
2015-02-12,14,59.41
2015-02-12,15,62.49
2015-02-12,16,66.4
2015-02-12,17,82.33
2015-02-12,18,73.29
2015-02-12,19,64.35
2015-02-12,20,62.88
2015-02-12,21,62.4
2015-02-12,22,55.99
2015-02-12,23,49.85
2015-02-13,0,46.34
2015-02-13,1,44.3
2015-02-13,2,43.0
2015-02-13,3,42.56
2015-02-13,4,44.67
2015-02-13,5,55.24
2015-02-13,6,59.06
2015-02-13,7,65.99
2015-02-13,8,64.6
2015-02-13,9,59.32
2015-02-13,10,56.26
2015-02-13,11,54.02
2015-02-13,12,52.67
2015-02-13,13,55.55
2015-02-13,14,56.0
2015-02-13,15,58.9
2015-02-13,16,62.14
2015-02-13,17,69.0
2015-02-13,18,65.1
2015-02-13,19,58.0
2015-02-13,20,58.19
2015-02-13,21,54.62
2015-02-13,22,52.9
2015-02-13,23,62.14
2015-02-14,0,60.27
2015-02-14,1,53.65
2015-02-14,2,52.95
2015-02-14,3,50.33
2015-02-14,4,54.31
2015-02-14,5,58.4
2015-02-14,6,58.4
2015-02-14,7,60.93
2015-02-14,8,63.97
2015-02-14,9,59.64
2015-02-14,10,56.23
2015-02-14,11,54.48
2015-02-14,12,52.96
2015-02-14,13,54.02
2015-02-14,14,55.34
2015-02-14,15,60.37
2015-02-14,16,64.22
2015-02-14,17,71.6
2015-02-14,18,72.0
2015-02-14,19,64.83
2015-02-14,20,61.02
2015-02-14,21,60.99
2015-02-14,22,54.95
2015-02-14,23,53.28
2015-02-15,0,48.0
2015-02-15,1,42.32
2015-02-15,2,40.43
2015-02-15,3,36.65
2015-02-15,4,39.0
2015-02-15,5,40.15
2015-02-15,6,40.32
2015-02-15,7,41.97
2015-02-15,8,49.35
2015-02-15,9,55.23
2015-02-15,10,55.26
2015-02-15,11,55.34
2015-02-15,12,53.48
2015-02-15,13,55.33
2015-02-15,14,56.65
2015-02-15,15,60.4
2015-02-15,16,61.02
2015-02-15,17,67.9
2015-02-15,18,68.99
2015-02-15,19,61.49
2015-02-15,20,56.57
2015-02-15,21,55.46
2015-02-15,22,53.47
2015-02-15,23,44.78
2015-02-16,0,41.97
2015-02-16,1,40.15
2015-02-16,2,38.2
2015-02-16,3,38.03
2015-02-16,4,42.07
2015-02-16,5,55.41
2015-02-16,6,61.62
2015-02-16,7,65.39
2015-02-16,8,63.96
2015-02-16,9,61.69
2015-02-16,10,60.76
2015-02-16,11,58.65
2015-02-16,12,57.13
2015-02-16,13,59.83
2015-02-16,14,59.64
2015-02-16,15,60.08
2015-02-16,16,60.99
2015-02-16,17,68.0
2015-02-16,18,65.0
2015-02-16,19,60.99
2015-02-16,20,58.74
2015-02-16,21,57.28
2015-02-16,22,53.4
2015-02-16,23,44.16
2015-02-17,0,41.0
2015-02-17,1,40.48
2015-02-17,2,38.35
2015-02-17,3,37.0
2015-02-17,4,41.97
2015-02-17,5,49.99
2015-02-17,6,59.0
2015-02-17,7,63.21
2015-02-17,8,60.0
2015-02-17,9,57.24
2015-02-17,10,55.62
2015-02-17,11,50.13
2015-02-17,12,49.85
2015-02-17,13,53.28
2015-02-17,14,54.36
2015-02-17,15,56.84
2015-02-17,16,59.97
2015-02-17,17,64.09
2015-02-17,18,62.76
2015-02-17,19,58.87
2015-02-17,20,55.86
2015-02-17,21,53.71
2015-02-17,22,47.99
2015-02-17,23,54.73
2015-02-18,0,45.8
2015-02-18,1,42.43
2015-02-18,2,41.97
2015-02-18,3,41.97
2015-02-18,4,48.07
2015-02-18,5,56.43
2015-02-18,6,59.64
2015-02-18,7,64.34
2015-02-18,8,63.86
2015-02-18,9,60.3
2015-02-18,10,60.0
2015-02-18,11,53.2
2015-02-18,12,52.88
2015-02-18,13,54.67
2015-02-18,14,55.4
2015-02-18,15,60.96
2015-02-18,16,63.1
2015-02-18,17,70.38
2015-02-18,18,66.3
